,name,handedness,height,weight,avg,HR,w_group
20,Jeff Barkley,Both,75,185,0,0,"(180, 190]"
30,Nardi Contreras,Both,74,193,0,0,"(190, 200]"
73,Mickey Lolich,Both,73,170,0.11,0,"(160, 170]"
74,Ray Chadwick,Both,74,180,0,0,"(170, 180]"
97,Marty Martinez,Both,72,170,0.243,0,"(160, 170]"
126,Randy Scarbery,Both,73,185,0,0,"(180, 190]"
160,Barry Raziano,Both,70,175,0,0,"(170, 180]"
182,Bob Didier,Both,72,190,0.229,0,"(180, 190]"
286,Steve Burke,Both,74,200,0,0,"(190, 200]"
318,Mark Brown,Both,74,190,0,0,"(180, 190]"
371,Lafayette Currence,Both,71,175,0,0,"(170, 180]"
403,Bert Bradley,Both,73,190,0,0,"(180, 190]"
460,Fred Norman,Both,68,155,0.125,0,"(150, 160]"
473,Chuck Hockenbery,Both,73,195,0,0,"(190, 200]"
489,Jeff Schneider,Both,75,195,0,0,"(190, 200]"
521,Larry Lintz,Both,69,150,0.227,0,"(140, 150]"
548,Pete Filson,Both,74,195,0,0,"(190, 200]"
560,Steve Cummings,Both,74,200,0,0,"(190, 200]"
584,Bob Veale,Both,78,212,0.114,0,"(210, 220]"
811,John Bohnet,Both,72,175,0,0,"(170, 180]"
1152,Gary Lance,Both,75,195,0,0,"(190, 200]"
10,John LaRose,Left,73,185,0,0,"(180, 190]"
14,Jerry Kutzler,Left,73,175,0,0,"(170, 180]"
22,Britt Burns,Left,77,215,0,0,"(210, 220]"
43,Jerry Garvin,Left,75,195,0,0,"(190, 200]"
47,Kevin Mmahat,Left,77,220,0,0,"(210, 220]"
54,Kevin Stanfield,Left,72,190,0,0,"(180, 190]"
65,Bob Fallon,Left,75,200,0,0,"(190, 200]"
89,Tony Ferreira,Left,73,160,0,0,"(150, 160]"
95,Bryan Oelkers,Left,75,192,0,0,"(190, 200]"
96,Kevin Bearse,Left,74,195,0,0,"(190, 200]"
135,Mike Jones,Left,78,215,0,0,"(210, 220]"
143,Zach Crouch,Left,75,180,0,0,"(170, 180]"
147,Bruce Tanner,Left,75,220,0,0,"(210, 220]"
164,Pat Underwood,Left,72,175,0,0,"(170, 180]"
170,Joel McKeon,Left,72,185,0,0,"(180, 190]"
193,Bruce Robbins,Left,73,190,0,0,"(180, 190]"
212,Brian Dubois,Left,70,165,0,0,"(160, 170]"
218,Vance Lovelace,Left,77,205,0,0,"(200, 210]"
224,Ralph Botting,Left,72,195,0,0,"(190, 200]"
258,Ed Crosby,Left,74,175,0.22,0,"(170, 180]"
266,Jim Umbarger,Left,78,200,0,0,"(190, 200]"
272,Curt Wardle,Left,77,220,0,0,"(210, 220]"
285,Israel Sanchez,Left,69,170,0,0,"(160, 170]"
298,Narciso Elvira,Left,70,160,0,0,"(150, 160]"
322,Len Whitehouse,Left,71,175,0,0,"(170, 180]"
353,Joe Pactwa,Left,71,185,0,0,"(180, 190]"
364,Sherman Corbett,Left,76,205,0,0,"(200, 210]"
394,Mike Smithson,Left,80,215,0,0,"(210, 220]"
420,Reggie Ritter,Left,74,195,0,0,"(190, 200]"
488,Mike Rochford,Left,76,205,0,0,"(200, 210]"
501,Angel Moreno,Left,69,165,0,0,"(160, 170]"
509,Randy Wiles,Left,73,185,0,0,"(180, 190]"
527,Jeff Schattinger,Left,77,200,0,0,"(190, 200]"
539,Tim Johnson,Left,73,170,0.223,0,"(160, 170]"
558,Jeff Twitty,Left,74,185,0,0,"(180, 190]"
617,Joel Davis,Left,77,205,0,0,"(200, 210]"
630,Steve Barr,Left,76,200,0,0,"(190, 200]"
649,Steve Davis,Left,73,195,0,0,"(190, 200]"
650,Jeff Rineer,Left,76,205,0,0,"(200, 210]"
658,Mark Mercer,Left,77,220,0,0,"(210, 220]"
703,Dave Stapleton,Left,73,185,0,0,"(180, 190]"
712,Gary Christenson,Left,77,200,0,0,"(190, 200]"
716,Mike Kinnunen,Left,73,185,0,0,"(180, 190]"
718,Dave Rajsich,Left,77,175,0,0,"(170, 180]"
771,Mike Pazik,Left,74,195,0,0,"(190, 200]"
790,Mark Souza,Left,72,180,0,0,"(170, 180]"
794,Rick Jones,Left,77,190,0,0,"(180, 190]"
814,Luis Quintana,Left,74,175,0,0,"(170, 180]"
836,Brian Snyder,Left,75,185,0,0,"(180, 190]"
871,Dennis DeBarr,Left,74,190,0,0,"(180, 190]"
895,Ed Hodge,Left,74,192,0,0,"(190, 200]"
903,Jim Campbell,Left,71,175,0,0,"(170, 180]"
910,Bob Galasso,Left,73,205,0,0,"(200, 210]"
915,Juan Nieves,Left,75,175,0,0,"(170, 180]"
952,Bruce Ellingsen,Left,72,180,0,0,"(170, 180]"
954,Gorman Heimueller,Left,76,195,0,0,"(190, 200]"
1044,Dan Morogiello,Left,73,200,0,0,"(190, 200]"
1108,John Poloni,Left,77,210,0,0,"(200, 210]"
1112,Mike Willis,Left,74,205,0,0,"(200, 210]"
1131,Jerry Augustine,Left,72,183,0,0,"(180, 190]"
1135,Jeff Holly,Left,77,210,0,0,"(200, 210]"
1150,Larry Rothschild,Left,74,180,0,0,"(170, 180]"
0,Tom Brown,Right,73,170,0,0,"(160, 170]"
9,Ozzie Osborn,Right,74,195,0,0,"(190, 200]"
11,Jeff Byrd,Right,75,195,0,0,"(190, 200]"
21,Eric Wilkins,Right,73,190,0,0,"(180, 190]"
34,Jack Billingham,Right,76,195,0.111,0,"(190, 200]"
38,Gil Patterson,Right,73,185,0,0,"(180, 190]"
44,Steve Eddy,Right,74,185,0,0,"(180, 190]"
51,Jim Siwy,Right,76,200,0,0,"(190, 200]"
52,Bud Anderson,Right,75,210,0,0,"(200, 210]"
56,John Butcher,Right,76,185,0,0,"(180, 190]"
57,Jerry Ujdur,Right,73,195,0,0,"(190, 200]"
62,Brian Denman,Right,76,205,0,0,"(200, 210]"
71,Steve Curry,Right,78,217,0,0,"(210, 220]"
79,Bryan Clutterbuck,Right,76,223,0,0,"(220, 230]"
102,Jose Roman,Right,72,175,0,0,"(170, 180]"
105,Mike Trujillo,Right,73,180,0,0,"(170, 180]"
106,Albert Williams,Right,76,190,0,0,"(180, 190]"
107,Oswaldo Peraza,Right,76,172,0,0,"(170, 180]"
111,Barry Cort,Right,77,210,0,0,"(200, 210]"
115,Bill Wilkinson,Right,70,160,0,0,"(150, 160]"
117,Mike Loynd,Right,76,210,0,0,"(200, 210]"
128,Ben Callahan,Right,79,230,0,0,"(220, 230]"
133,Bobby Cuellar,Right,71,188,0,0,"(180, 190]"
137,Ramon Manon,Right,72,150,0,0,"(140, 150]"
141,John Trautwein,Right,75,205,0,0,"(200, 210]"
142,Andy Replogle,Right,77,205,0,0,"(200, 210]"
145,Ron Romanick,Right,76,195,0,0,"(190, 200]"
158,Dave Ford,Right,76,190,0,0,"(180, 190]"
171,Danny Fife,Right,75,175,0,0,"(170, 180]"
192,Andy Beene,Right,75,205,0,0,"(200, 210]"
195,Leon Hooten,Right,71,180,0,0,"(170, 180]"
202,Allan Ramirez,Right,70,180,0,0,"(170, 180]"
207,Brian Allard,Right,73,175,0,0,"(170, 180]"
209,Fernando Arroyo,Right,74,180,0,0,"(170, 180]"
210,Gary Beare,Right,76,205,0,0,"(200, 210]"
215,Chris Batton,Right,76,195,0,0,"(190, 200]"
219,Greg Thayer,Right,71,182,0,0,"(180, 190]"
221,Paul Hartzell,Right,77,200,0,0,"(190, 200]"
226,Steve Rogers,Right,74,175,0.138,0,"(170, 180]"
227,Keith Creel,Right,74,180,0,0,"(170, 180]"
247,Mike Smith,Right,75,180,0,0,"(170, 180]"
249,T.R. Bryden,Right,76,190,0,0,"(180, 190]"
252,Tom Makowski,Right,71,185,0,0,"(180, 190]"
269,Mike Darr,Right,76,190,0,0,"(180, 190]"
270,Craig Robinson,Right,70,165,0.219,0,"(160, 170]"
290,Terry Taylor,Right,73,180,0,0,"(170, 180]"
296,Randy Nosek,Right,76,215,0,0,"(210, 220]"
300,Mark Smith,Right,74,215,0,0,"(210, 220]"
301,Paul Mitchell,Right,73,195,0,0,"(190, 200]"
309,Butch Edge,Right,75,203,0,0,"(200, 210]"
314,Gary Mielke,Right,75,185,0,0,"(180, 190]"
315,Rick Henninger,Right,78,225,0,0,"(220, 230]"
321,Rafael Vasquez,Right,72,160,0,0,"(150, 160]"
326,Steve Adkins,Right,78,210,0,0,"(200, 210]"
328,Joe Horlen,Right,72,170,0.134,0,"(160, 170]"
330,Tony Mack,Right,70,177,0,0,"(170, 180]"
332,Bill Moran,Right,76,210,0,0,"(200, 210]"
334,Cesar Gutierrez,Right,69,155,0.235,0,"(150, 160]"
338,Tom Gilles,Right,73,185,0,0,"(180, 190]"
351,Bob Kammeyer,Right,76,210,0,0,"(200, 210]"
374,John Pawlowski,Right,74,175,0,0,"(170, 180]"
376,Jack Hardy,Right,74,175,0,0,"(170, 180]"
377,Ron Musselman,Right,74,185,0,0,"(180, 190]"
